word,occurrence,day
aahed,1.8509504512431719e-09,
aalii,6.224470511400327e-10,
aargh,2.1581884456639555e-10,
aarti,7.66833154320442e-10,
abaca,6.320645568965637e-08,
abaci,1.4920510931258305e-08,
aback,1.126183335031783e-06,110.0
abacs,8.743471214206167e-10,
abaft,2.181616785685164e-07,
abaka,2.9387692802755706e-10,
abamp,1.7812868544636382e-10,
aband,9.628008567331447e-08,
abase,6.17710364991808e-08,26.0
abash,6.631916769938274e-08,
abask,4.0815823797702726e-11,
abate,1.036139835832728e-06,18.0
abaya,2.6126512311903613e-09,
abbas,8.220093955598667e-08,
abbed,6.731054165111703e-09,
abbes,1.9537967157607237e-08,
abbey,1.433003858437587e-06,208.0
abbot,1.4964825390961777e-06,1697.0
abcee,2.0923587368591413e-11,
abeam,6.743613180050832e-08,
abear,7.427146521090154e-09,
abele,8.951502993122144e-09,
abers,4.683153812195336e-09,
abets,7.915845270207894e-08,
abhor,3.674572980116864e-07,2070.0
abide,3.376823733560741e-06,1063.0
abies,4.2604561783638354e-08,
abled,8.85559484231635e-08,1731.0
abler,7.909167595589504e-07,
ables,2.684619005595306e-07,
ablet,2.09524499898054e-08,
ablow,2.7917603127442385e-08,
abmho,8.754114322462526e-11,
abode,2.0697126706181734e-06,1632.0
abohm,2.5723813349186006e-10,
aboil,4.531239191662131e-09,
aboma,9.322722116725032e-10,
aboon,4.371475751385745e-08,
abord,1.646924153531925e-07,
abore,3.223709181056676e-07,
abort,8.027417095490819e-07,1355.0
about,0.001053331636358,728.0
above,0.0002410466049332,1877.0
abram,1.9826667640785106e-08,
abray,1.1607620533817188e-08,
abrim,9.090552025880195e-10,
abrin,5.004026138193866e-09,
abris,4.830803361926667e-09,
absey,5.370102597844483e-10,
absit,4.0963032653064716e-08,
abuna,1.2363012665609224e-08,
abune,1.4494884544131897e-08,
abuse,3.5653622726385945e-05,1481.0
abuts,1.561503047394689e-07,
abuzz,8.984393818121617e-09,
abyes,7.016585226833519e-11,
abysm,1.9529500457616557e-08,
abyss,1.600683060587471e-06,126.0
acais,9.414540231801926e-11,
acari,1.5987479216136216e-08,
accas,3.0764552830989745e-10,
accoy,2.2834130387787527e-10,
acerb,2.6811653573070117e-08,
acers,1.180208152723888e-08,
aceta,3.705822367668835e-09,
achar,8.009663104403713e-09,
ached,3.455442653480608e-07,
aches,6.130771150235039e-07,
achoo,8.835839656628186e-10,
acids,1.014250996323932e-05,
acidy,1.977686446712735e-09,
acing,4.152148235749319e-08,
acini,8.571780091367525e-08,
ackee,2.382005536806615e-09,
acker,2.6738030338531346e-08,
acmes,1.0190985774384862e-08,
acmic,1.74693473956098e-10,
acned,1.743486740036194e-09,
acnes,1.05950795154391e-08,
acock,1.5200587404169578e-08,
acold,1.5002521961276623e-08,
acorn,4.211164701928283e-07,703.0
acred,7.333339513817026e-07,
acres,3.211736135664449e-05,
acrid,4.830495737451202e-07,1153.0
acros,2.9363763576633744e-08,
acted,2.648669244973252e-05,
actin,3.1402502210274256e-07,
acton,4.0064498091779276e-08,
actor,1.19104319037433e-05,1674.0
acute,2.771924762782873e-05,190.0
acyls,5.126839068932453e-10,
adage,7.225110147146551e-07,1098.0
adapt,8.287095988634974e-06,2286.0
adaws,9.905155943587327e-11,
adays,3.247100594901024e-07,
adbot,7.860338412475951e-11,
addax,6.4742725025119116e-09,
added,9.769780896861518e-05,
adder,5.769610972300016e-07,
addio,8.34789459908541e-09,
addle,1.3296331863908396e-07,
adeem,4.01389340760787e-09,
adept,1.7481197369306756e-06,1216.0
adhan,1.6526425595274446e-09,
adieu,2.1865968532844924e-06,
adios,1.1836267105965665e-08,
adits,7.430839434885428e-08,
adman,1.327148323524088e-08,
admen,1.0518662464013092e-08,
admin,1.1399343816265172e-06,1653.0
admit,1.820914305426413e-05,485.0
admix,1.6586268390363412e-08,
adobe,8.033893800529767e-07,40.0
adobo,4.000796297219133e-09,
adopt,2.1856387320440263e-05,990.0
adore,9.680584685156646e-07,1131.0
adorn,7.524582042606199e-07,1109.0
adown,1.7101628280681888e-07,
adoze,3.4995756721854246e-10,
adrad,3.0272302986524753e-08,
adred,1.1646518404332054e-08,
adsum,1.568510981994833e-08,
aduki,4.3742707079382687e-10,
adult,4.408951157529373e-05,2309.0
adunc,2.2422739349031288e-10,
adust,1.3527524878470106e-07,
advew,7.114596988467579e-11,
adyta,1.2232877515810926e-08,
adzed,6.463275521621899e-09,
adzes,5.2036954567569186e-08,
aecia,1.4728346163826412e-08,
aedes,1.4998964586326452e-07,
aegis,2.492367561531731e-07,
aeons,7.13991582242006e-08,
aerie,4.6239812911963444e-08,
aeros,2.00362197196794e-09,
aesir,3.3384561875110086e-10,
afald,1.1994468116510511e-09,
afara,7.57693218623798e-10,
afars,2.49879541667038e-09,
afear,5.128032665089193e-09,
affix,7.80145306293889e-07,2039.0
afire,2.980467405677701e-07,1494.0
aflaj,2.7815080985010836e-10,
afoot,6.454296442370833e-07,1222.0
afore,8.035467261235086e-06,
afoul,4.034328378565988e-07,1244.0
afrit,7.653735740059247e-09,
afros,9.960710042301762e-10,
after,0.0005950968305114,1374.0
again,0.0002439171663718,1505.0
agama,6.707685806261166e-09,
agami,2.393223479500503e-09,
agape,4.2181427687637553e-07,395.0
agars,8.913947298803853e-09,
agast,2.877454961742913e-07,
agate,3.908818155196059e-07,102.0
agave,5.073900062836965e-08,
agaze,4.1795884042201005e-09,
agene,1.2891722306340725e-08,
agent,5.3657259195460937e-05,1624.0
agers,1.0132188074364078e-07,
agger,6.267453572196867e-08,
aggie,3.633792674934987e-09,
aggri,2.3035481990112659e-10,
aggro,4.866030439058063e-09,
aggry,1.8465923158428e-09,
aghas,2.818733548600652e-09,
agila,9.954909388007255e-10,
agile,1.0855067847614918e-06,1247.0
aging,1.2013797550025629e-05,561.0
agios,5.760290542899521e-09,
agism,6.215277782690665e-10,
agist,2.321692764321977e-08,
agita,3.9568064283188255e-08,
aglee,1.954414814762192e-09,
aglet,8.163330594941514e-09,
agley,4.790728501402608e-09,
agloo,2.8859951427849635e-11,
aglow,2.293505397688023e-07,1290.0
aglus,6.57589912343928e-11,
agmas,4.1552906915267495e-11,
agoge,1.4344305013423172e-09,
agone,4.724977584968926e-07,
agons,3.272805920610906e-09,
agony,3.6050901735507063e-06,1050.0
agood,4.699178021474801e-07,
agora,2.15101970439946e-07,241.0
agree,5.061361734988168e-05,70.0
agria,1.3796621249083908e-08,
agrin,8.858904910501711e-09,
agros,7.534919931585247e-08,
agued,5.729194995768721e-09,
agues,3.6191658348176777e-07,
aguna,1.429914147291425e-09,
aguti,2.450970287890627e-09,
ahead,3.70468999244622e-05,260.0
aheap,2.5717936434259083e-08,
ahent,1.932359048000628e-09,
ahigh,3.491172070324566e-08,
ahind,1.4382341076637835e-09,
ahing,3.997912145033892e-09,
ahint,1.2520674643873725e-08,
ahold,2.4384958119405552e-08,
ahull,1.207840574523312e-08,
ahuru,2.6834439811777955e-10,
aidas,1.2678307802176318e-09,
aided,6.032008739090053e-06,
aider,1.6166665702144204e-07,852.0
aides,8.672384430346697e-07,
aidoi,3.783978836732546e-11,
aidos,2.1709346619525914e-09,
aiery,9.842290581216433e-08,
aigas,9.277220423386385e-09,
aight,3.48665664545295e-08,
ailed,5.597904316090307e-07,
aimed,7.489997129430146e-06,
aimer,8.357980454398728e-08,
ainee,1.2353218228192663e-09,
ainga,2.849673264387364e-10,
aioli,3.5584640404189967e-09,
aired,4.80700477057693e-07,
airer,1.4801627413591351e-08,
airns,4.3599078968909336e-09,
airth,2.1211121912949438e-08,
airts,4.856089983761559e-09,
aisle,3.2282234201375104e-06,1658.0
aitch,1.1289638729214616e-08,
