word	occurrence
aahed	1.8509504512431719e-09
aalii	6.224470511400327e-10
aargh	2.1581884456639555e-10
aarti	7.66833154320442e-10
abaca	6.320645568965636e-08
abaci	1.4920510931258305e-08
abacs	8.743471214206168e-10
abaft	2.1816167856851638e-07
abaka	2.938769280275571e-10
abamp	1.7812868544636382e-10
aband	9.628008567331446e-08
abash	6.631916769938274e-08
abask	4.081582379770273e-11
abaya	2.6126512311903617e-09
abbas	8.220093955598666e-08
abbed	6.731054165111703e-09
abbes	1.9537967157607234e-08
abcee	2.0923587368591413e-11
abeam	6.743613180050832e-08
abear	7.427146521090154e-09
abele	8.951502993122144e-09
abers	4.683153812195336e-09
abets	7.915845270207893e-08
abies	4.260456178363835e-08
abler	7.909167595589504e-07
ables	2.6846190055953056e-07
ablet	2.09524499898054e-08
ablow	2.7917603127442385e-08
abmho	8.754114322462527e-11
abohm	2.572381334918601e-10
aboil	4.53123919166213e-09
aboma	9.322722116725032e-10
aboon	4.371475751385745e-08
abord	1.646924153531925e-07
abore	3.223709181056676e-07
abram	1.9826667640785102e-08
abray	1.1607620533817188e-08
abrim	9.090552025880195e-10
abrin	5.004026138193866e-09
abris	4.830803361926667e-09
absey	5.370102597844484e-10
absit	4.096303265306471e-08
abuna	1.2363012665609224e-08
abune	1.4494884544131897e-08
abuts	1.561503047394689e-07
abuzz	8.984393818121617e-09
abyes	7.01658522683352e-11
abysm	1.9529500457616554e-08
acais	9.414540231801926e-11
acari	1.5987479216136216e-08
accas	3.076455283098975e-10
accoy	2.2834130387787527e-10
acerb	2.6811653573070114e-08
acers	1.1802081527238879e-08
aceta	3.705822367668835e-09
achar	8.009663104403713e-09
ached	3.455442653480608e-07
aches	6.130771150235039e-07
achoo	8.835839656628187e-10
acids	1.0142509963239321e-05
acidy	1.977686446712735e-09
acing	4.152148235749318e-08
acini	8.571780091367524e-08
ackee	2.382005536806615e-09
acker	2.6738030338531342e-08
acmes	1.0190985774384862e-08
acmic	1.74693473956098e-10
acned	1.743486740036194e-09
acnes	1.05950795154391e-08
acock	1.5200587404169578e-08
acold	1.5002521961276623e-08
acred	7.333339513817026e-07
acres	3.211736135664449e-05
acros	2.9363763576633744e-08
acted	2.648669244973252e-05
actin	3.1402502210274256e-07
acton	4.006449809177927e-08
acyls	5.126839068932453e-10
adaws	9.905155943587327e-11
adays	3.247100594901024e-07
adbot	7.860338412475952e-11
addax	6.4742725025119116e-09
added	9.769780896861518e-05
adder	5.769610972300016e-07
addio	8.34789459908541e-09
addle	1.3296331863908396e-07
adeem	4.01389340760787e-09
adhan	1.6526425595274448e-09
adieu	2.1865968532844924e-06
adios	1.1836267105965663e-08
adits	7.430839434885428e-08
adman	1.327148323524088e-08
admen	1.0518662464013092e-08
admix	1.6586268390363412e-08
adobo	4.000796297219133e-09
adown	1.7101628280681888e-07
adoze	3.499575672185425e-10
adrad	3.027230298652475e-08
adred	1.1646518404332054e-08
adsum	1.568510981994833e-08
aduki	4.3742707079382687e-10
adunc	2.242273934903129e-10
adust	1.3527524878470104e-07
advew	7.11459698846758e-11
adyta	1.2232877515810926e-08
adzed	6.463275521621899e-09
adzes	5.203695456756918e-08
aecia	1.4728346163826413e-08
aedes	1.4998964586326452e-07
aegis	2.492367561531731e-07
aeons	7.13991582242006e-08
aerie	4.623981291196344e-08
aeros	2.00362197196794e-09
aesir	3.338456187511009e-10
afald	1.1994468116510511e-09
afara	7.57693218623798e-10
afars	2.49879541667038e-09
afear	5.128032665089193e-09
aflaj	2.781508098501084e-10
afore	8.035467261235086e-06
afrit	7.653735740059247e-09
afros	9.960710042301762e-10
agama	6.707685806261166e-09
agami	2.393223479500503e-09
agars	8.913947298803853e-09
agast	2.877454961742913e-07
agave	5.0739000628369653e-08
agaze	4.1795884042201005e-09
agene	1.2891722306340725e-08
agers	1.0132188074364078e-07
agger	6.267453572196867e-08
aggie	3.633792674934987e-09
aggri	2.303548199011266e-10
aggro	4.866030439058063e-09
aggry	1.8465923158428e-09
aghas	2.8187335486006525e-09
agila	9.954909388007257e-10
agios	5.760290542899521e-09
agism	6.215277782690666e-10
agist	2.3216927643219766e-08
agita	3.9568064283188255e-08
aglee	1.954414814762192e-09
aglet	8.163330594941514e-09
agley	4.790728501402608e-09
agloo	2.8859951427849635e-11
aglus	6.57589912343928e-11
agmas	4.15529069152675e-11
agoge	1.4344305013423174e-09
agone	4.7249775849689255e-07
agons	3.2728059206109064e-09
agood	4.699178021474801e-07
agria	1.3796621249083908e-08
agrin	8.85890491050171e-09
agros	7.534919931585247e-08
agued	5.729194995768721e-09
agues	3.6191658348176777e-07
aguna	1.429914147291425e-09
aguti	2.450970287890627e-09
aheap	2.5717936434259083e-08
ahent	1.932359048000628e-09
ahigh	3.491172070324566e-08
ahind	1.4382341076637837e-09
ahing	3.997912145033892e-09
ahint	1.2520674643873725e-08
ahold	2.4384958119405552e-08
ahull	1.207840574523312e-08
ahuru	2.683443981177796e-10
aidas	1.2678307802176318e-09
aided	6.032008739090053e-06
aides	8.672384430346697e-07
aidoi	3.7839788367325464e-11
aidos	2.1709346619525914e-09
aiery	9.842290581216431e-08
aigas	9.277220423386385e-09
aight	3.48665664545295e-08
ailed	5.597904316090307e-07
aimed	7.4899971294301466e-06
aimer	8.357980454398728e-08
ainee	1.2353218228192665e-09
ainga	2.8496732643873636e-10
aioli	3.5584640404189975e-09
aired	4.80700477057693e-07
airer	1.480162741359135e-08
airns	4.3599078968909336e-09
airth	2.1211121912949434e-08
airts	4.856089983761559e-09
aitch	1.1289638729214616e-08
aitus	1.1681843599825175e-09
aiver	3.393954124099212e-09
aiyee	6.505076726347097e-11
aizle	3.14186080577686e-10
ajies	3.730004100260061e-10
ajiva	8.927159746606355e-10
ajuga	1.424503323565922e-09
ajwan	3.0776177242359133e-10
akees	1.6924471517752618e-10
akela	1.2143796258376258e-10
akene	7.282069009841126e-09
aking	5.663499597502025e-07
akita	3.342732194676879e-10
akkas	8.62520028289639e-11
alaap	2.0548127278222723e-10
alack	2.429214387969289e-07
alamo	1.4419867787062851e-08
aland	1.156606544931822e-07
alane	6.542345768723889e-08
alang	4.0710210641875095e-08
alans	3.7717460510080005e-09
alant	3.606787015741054e-09
alapa	2.940723413711834e-09
alaps	1.8292231225996564e-10
alary	2.836971913179929e-08
alate	8.828164886129577e-08
alays	4.774466424728025e-09
albas	1.2574130664893673e-08
albee	3.196532024947249e-08
alcid	6.603962060029188e-10
alcos	5.026777711895807e-10
aldea	6.1392772510480654e-09
alder	5.113302105422909e-07
aldol	4.2796308963097485e-08
aleck	8.665819249740278e-09
alecs	9.546027175864358e-10
alefs	8.640883810303185e-09
aleft	8.567210410417111e-09
aleph	3.3005786251957186e-08
alews	3.0113274066497476e-10
aleye	3.5456743841725345e-10
alfas	5.340871040031814e-09
algal	3.8098225612925007e-07
algas	2.8664387136326027e-09
algid	8.626146122830541e-09
algin	7.434956985971844e-09
algor	2.9214411638098235e-09
algum	1.9035861611310657e-08
alias	1.1954366198752863e-05
alifs	5.61956662387013e-10
aline	2.2660710301205875e-07
alist	1.9257207317657788e-08
aliya	5.578479763206933e-09
alkie	8.515523702351855e-09
alkos	9.01099233291189e-12
alkyd	5.718025179904545e-08
alkyl	1.1516879622118077e-06
allee	1.4400660707492874e-08
allel	2.4318016408256902e-08
allis	4.4491333903717847e-07
allod	6.886944040345647e-09
allyl	1.777466399587569e-07
almah	2.53274521059469e-09
almas	1.7199946282199827e-08
almeh	6.020108686661978e-10
almes	1.9018751970775097e-06
almud	3.624155130700101e-09
almug	1.8218734077965482e-08
alods	4.687065810658219e-10
aloed	2.0537890054493742e-10
aloes	5.831543072500376e-07
aloha	1.2314275133783726e-08
